K,F,T,seed,reward_dot,cost_dot,net_dot,reward_linear,cost_linear,net_linear,reward_network,cost_network,net_network,structural_updates_network
32,2,400,6,0.8167262525543306,0.0,0.8167262525543306,0.6125023573547174,32.0,0.2925023573547174,0.7812233520272645,2.0675,0.7605483520272646,27
32,2,400,7,0.22118115703057953,0.0,0.22118115703057953,0.21005005141951788,32.0,-0.10994994858048213,0.28452003457386943,2.0375,0.2641450345738694,15
32,2,400,8,1.168536839125,0.0,1.168536839125,0.7329070111372024,32.0,0.4129070111372023,1.2806867760377116,2.0625,1.2600617760377117,25
32,2,400,9,0.11730376281322691,0.0,0.11730376281322691,0.08307320188295078,32.0,-0.2369267981170492,0.12858579766499387,2.0375,0.10821079766499388,15
32,4,400,0,0.4986660876410695,0.0,0.4986660876410695,0.36220497795874557,32.0,0.042204977958745574,0.6247790047279411,4.165,0.5831290047279412,33
32,4,400,1,0.21124950289059743,0.0,0.21124950289059743,0.14957086725203028,32.0,-0.17042913274796972,0.3016261095974278,4.135,0.2602761095974278,27
32,4,400,2,0.486055375941652,0.0,0.486055375941652,0.3640045694522741,32.0,0.044004569452274114,0.6247099462834242,4.145,0.5832599462834243,29
32,4,400,3,1.2097578452086575,0.0,1.2097578452086575,1.0226868973007526,32.0,0.7026868973007526,1.2943729917725522,4.205,1.2523229917725522,41
32,4,400,4,1.0743672318868045,0.0,1.0743672318868045,0.9242228119963394,32.0,0.6042228119963394,1.1372290176120528,4.175,1.0954790176120526,35
32,4,400,5,-0.023875469478996228,0.0,-0.023875469478996228,-0.08878659831833882,32.0,-0.40878659831833886,0.017963673650951573,4.085,-0.022886326349048428,17
32,4,400,6,0.16650229748560555,0.0,0.16650229748560555,0.15379871789675734,32.0,-0.16620128210324267,0.2050557633549494,4.085,0.16420576335494938,17
32,4,400,7,0.8555943208930857,0.0,0.8555943208930857,0.8801960085805615,32.0,0.5601960085805615,0.9769745555603322,4.255,0.9344245555603322,51
32,4,400,8,0.6296311503155295,0.0,0.6296311503155295,0.5302188292740705,32.0,0.21021882927407048,0.7788407118863871,4.13,0.7375407118863871,26
32,4,400,9,0.14641098887342083,0.0,0.14641098887342083,0.09183464677373879,32.0,-0.22816535322626122,0.14945546995047165,4.115,0.10830546995047165,23
32,8,400,0,1.25712071995856,0.0,1.25712071995856,1.3362792005402466,32.0,1.0162792005402466,1.4846632072838046,8.59,1.3987632072838045,59
32,8,400,1,0.8172168163845994,0.0,0.8172168163845994,0.6414128487436433,32.0,0.3214128487436433,0.9680626902042494,8.57,0.8823626902042494,57
32,8,400,2,0.8403489734375214,0.0,0.8403489734375214,0.6889209618520211,32.0,0.36892096185202106,1.0372659639909205,8.75,0.9497659639909206,75
32,8,400,3,0.7562583623111407,0.0,0.7562583623111407,0.6644020010949606,32.0,0.3444020010949606,0.7939783430599248,8.52,0.7087783430599248,52
32,8,400,4,0.5071871815266971,0.0,0.5071871815266971,0.48972490995868484,32.0,0.16972490995868483,0.5757177118364962,8.53,0.49041771183649624,53
32,8,400,5,0.5409303554959833,0.0,0.5409303554959833,0.46867593438749916,32.0,0.14867593438749915,0.5760189480694096,8.5,0.49101894806940954,50
32,8,400,6,0.6900964120414355,0.0,0.6900964120414355,0.6247352980715667,32.0,0.30473529807156674,0.8017654206253316,8.45,0.7172654206253316,45
32,8,400,7,-0.03118493027353867,0.0,-0.03118493027353867,-0.01976436690188107,32.0,-0.3397643669018811,0.09594448836387011,8.46,0.011344488363870102,46
32,8,400,8,0.3743755423481451,0.0,0.3743755423481451,0.2173939737463332,32.0,-0.1026060262536668,0.4033217164648202,8.56,0.31772171646482017,56
32,8,400,9,1.1858083309199408,0.0,1.1858083309199408,1.0983341077500999,32.0,0.7783341077500999,1.2921700432473984,8.54,1.2067700432473982,54
