comparison_id,study,experiment,emotion,strategy_code,control_code,strategy_family,gross_family,dln_stage,n_exp,n_ctrl,n_total,d_experiential,d_behavioral,d_physiological,d_composite,n_outcomes,se_d,vi
232,Richards&Gross(2000),1,negative_affect,S1,Cont1,suppression,response_modulation,linear,25.0,28.0,53.0,0.0,,,0.0,1,0.2752,0.075714
233,Richards&Gross(2000),2,negative_affect,R3,Cont1,reappraisal,cognitive_change,network,22.0,41.0,63.0,0.63,0.55,,0.59,2,0.2695,0.072607
234,Richards&Gross(2000),2,negative_affect,S1,Cont1,suppression,response_modulation,linear,20.0,41.0,61.0,0.37,0.79,,0.58,2,0.2778,0.077148
235,Richards&Gross(2006),2,negative_affect,S1,Cont1,suppression,response_modulation,linear,40.0,91.0,131.0,0.34,,,0.34,1,0.1909,0.03643
236,Richards&Gross(2006),2,negative_affect,D3,Cont1,distraction,attentional_deployment,linear,44.0,91.0,135.0,0.46,,,0.46,1,0.1857,0.0345
237,Richardsetal.(2003),1,anxiety,R2,Cont1,reappraisal,cognitive_change,network,27.0,31.0,58.0,0.03,-0.04,,-0.005,2,0.2632,0.069295
238,Richardsetal.(2003),1,anxiety,S1,Cont1,suppression,response_modulation,linear,56.0,56.0,112.0,-0.12,0.78,,0.33,2,0.1903,0.0362
239,Rimes&Watkins(2005),1,none,C1,C2,concentration,attentional_deployment,dot,15.0,15.0,30.0,0.24,,,0.24,1,0.3665,0.134293
240,Robertsetal.(2008),1,disgust,S1,Cont1,suppression,response_modulation,linear,81.0,79.0,160.0,0.07,1.03,-0.39,0.2367,3,0.1587,0.025179
241,Robinson&Demaree(2009),1,sadness,S1,Cont4,suppression,response_modulation,linear,102.0,,102.0,0.0,-0.03,-0.24,-0.09,3,0.1402,0.019648
242,Robinson&Demaree(2009),1,sadness,S1,Cont3,suppression,response_modulation,linear,102.0,,102.0,0.03,0.36,0.07,0.1533,3,0.1404,0.019723
243,Rohrmannetal.(2009),1,disgust,R3,Cont1,reappraisal,cognitive_change,network,48.0,24.0,72.0,0.24,0.19,0.12,0.1833,3,0.2505,0.062733
244,Rohrmannetal.(2009),1,disgust,S1,Cont1,suppression,response_modulation,linear,48.0,24.0,72.0,0.14,0.51,-0.31,0.1133,3,0.2502,0.062589
245,Rosenzweigetal.(2003),1,none,R1,Cont1,reappraisal,cognitive_change,network,140.0,162.0,302.0,0.2,,,0.2,1,0.1157,0.013382
246,Rusting&DeHart(2000),2,negative_affect,R2,Cont1,reappraisal,cognitive_change,network,20.0,20.0,40.0,0.0,,,0.0,1,0.3162,0.1
247,Rusting&DeHart(2000),2,negative_affect,C1,Cont1,concentration,attentional_deployment,dot,20.0,20.0,40.0,0.0,,,0.0,1,0.3162,0.1
248,Rusting&Nolen-Hoeksema(1998),3,anger,D4,Cont1,distraction,attentional_deployment,linear,20.0,20.0,40.0,0.95,,,0.95,1,0.3336,0.111281
249,Rusting&Nolen-Hoeksema(1998),3,anger,C2,Cont1,concentration,attentional_deployment,dot,20.0,20.0,40.0,-1.18,,,-1.18,1,0.3426,0.117405
250,Santos(2008),1,negative_affect,R1,D4,reappraisal,cognitive_change,network,26.0,61.0,87.0,0.16,-0.14,,0.01,2,0.2342,0.054856
251,Santos(2008),1,negative_affect,R1,C2,reappraisal,cognitive_change,network,26.0,21.0,47.0,-0.13,0.09,,-0.02,2,0.2934,0.086085
252,Santos(2008),1,negative_affect,D4,C2,distraction,attentional_deployment,linear,61.0,21.0,82.0,-0.26,0.21,,-0.025,2,0.253,0.064016
