sample_id,citation,expt,sample,n,n_crit,topic,icc,n_iat,iat_type,ecc,n_expl,expl_type,iec
159,Steffens & Koenig (2006),1,1,89,7,Personality,0.192,5,Self,0.110,5,Self,0.091
160,Swanson et al. (2001),2,1,101,2,Consumer,0.250,2,Att/belief,0.403,2,Att/belief,0.473
161,Swanson et al. (2001),2,2,98,1,Drugs/tobacco,0.221,2,Att/belief,0.547,2,Att/belief,0.166
162,Swanson et al. (2001),3,3,70,1,Drugs/tobacco,0.357,2,Att/belief,0.486,2,Att/belief,0.276
163,Teachman (2005),1,1,103,3,Clinical,0.277,1,Self,,,
164,Teachman (2007),1,1,32,3,Clinical,0.562,1,Attitude,0.665,2,Attitude,0.340
165,Teachman et al. (2001),1,1,67,1,Clinical,0.543,4,Attitude,0.856,1,Attitude,
166,Teachman et al. (2007),1,1,81,3,Clinical,0.271,1,Self,0.662,3,Multiple,0.260
167,Teachman & Woody (2003),1,1,59,3,Clinical,0.243,4,Multiple,0.649,1,Belief,0.340
168,Thush & Wiers (2007),1,1,100,2,Drugs/tobacco,0.198,3,Multiple,0.341,3,Multiple,0.074
169,Thush et al. (2007),1,1,81,1,Drugs/tobacco,0.075,3,Belief,0.378,3,Belief,0.023
170,van den Wildenberg et al. (2006),1,1,48,2,Drugs/tobacco,0.183,2,Att/belief,0.132,2,Belief,0.033
171,Vanman et al. (2004),1,1,59,1,Race (Bl/Wh),0.170,1,Attitude,0.251,1,Attitude,0.042
172,Vanman et al. (2004),1,2,21,3,Race (Bl/Wh),0.024,1,Attitude,0.193,1,Attitude,0.106
173,Vantomme et al. (2005),1,1,60,2,Consumer,0.224,1,Attitude,0.386,1,Attitude,0.190
174,Vantomme et al. (2005),2,2,67,2,Consumer,0.298,1,Attitude,0.493,1,Attitude,0.330
175,Vargas et al. (2004),4,1,226,1,Personality,0.170,1,Self,0.587,3,Multiple,0.120
176,Verplanken et al. (2007),5,1,125,2,Personality,0.201,1,Self,0.441,1,Self,0.065
177,Wiers et al. (2002),1,1,48,1,Drugs/tobacco,0.335,2,Att/belief,0.320,5,Multiple,0.183
178,Wiers et al. (2005),1,1,92,5,Drugs/tobacco,0.119,2,Att/belief,0.035,2,Att/belief,0.200
179,Wiers et al. (2007),1,1,32,2,Drugs/tobacco,0.227,3,Multiple,0.213,3,Multiple,0.109
180,Williams et al. (2001),1,1,74,2,Consumer,0.334,1,Self,,,
181,Yabar et al. (2006),2,1,48,1,Other intergroup,0.099,1,Attitude,0.282,1,Attitude,0.550
182,Zayas & Shoda (2005),1,1,58,1,Relationships,0.280,1,Attitude,,,
183,Zayas & Shoda (2005),2,2,85,3,Relationships,0.207,3,Multiple,,,
184,Ziegert & Hanges (2005),1,1,99,1,Race (Bl/Wh),0.259,1,Attitude,0.056,2,Attitude,0.116
